"UF","cod.UF","cod Municipio","Nome do municipio","População estimada","PIB per capita","PIB TOTAL","Atividade econômica","Ranking PIB per capita","Ranking PIB Total"
"SP","35","3546801","Santa Isabel","54.926","2.416.596","1.353.632.211","Demais serviços","1556","557"
"SP","35","3546900","Santa Lúcia","8.687","1.454.229","127.361.339","Agricultura, inclusive apoio à agricultura e a pós colheita","2812","3106"
"SP","35","3547007","Santa Maria da Serra","5.902","2.102.836","126.611.774","Demais serviços","1929","3118"
"SP","35","3547106","Santa Mercedes","2.937","2.620.546","77.175.082","Agricultura, inclusive apoio à agricultura e a pós colheita","1342","3908"
"SP","35","3547502","Santa Rita do Passa Quatro","27.502","2.323.954","641.179.003","Demais serviços","1655","1013"
"SP","35","3547403","Santa Rita d'Oeste","2.564","2.225.051","56.605.292","Demais serviços","1786","4363"
"SP","35","3547601","Santa Rosa de Viterbo","25.666","2.949.287","768.790.734","Demais serviços","1085","876"
"SP","35","3547650","Santa Salete","1.523","2.190.951","33.653.005","Administração, defesa, educação e saúde públicas e seguridade social","1825","4993"
"SP","35","3547205","Santana da Ponte Pensa","1.591","2.222.148","34.554.397","Administração, defesa, educação e saúde públicas e seguridade social","1791","4974"
"SP","35","3547304","Santana de Parnaíba","126.574","6.508.316","8.583.623.067","Demais serviços","129","113"
"SP","35","3547700","Santo Anastácio","21.044","2.008.206","422.325.695","Demais serviços","2044","1374"
"SP","35","3547809","Santo André","710.210","3.840.812","27.470.680.404","Demais serviços","591","27"
"SP","35","3547908","Santo Antônio da Alegria","6.739","2.127.813","145.308.328","Agricultura, inclusive apoio à agricultura e a pós colheita","1890","2889"
"SP","35","3548005","Santo Antônio de Posse","22.389","457.833","1.043.905.113","Demais serviços","5045","678"
"SP","35","3548054","Santo Antônio do Aracanguá","8.169","2.593.329","214.857.303","Agricultura, inclusive apoio à agricultura e a pós colheita","1368","2246"
"SP","35","3548104","Santo Antônio do Jardim","6.053","2.274.999","137.159.704","Demais serviços","1718","2989"
"SP","35","3548203","Santo Antônio do Pinhal","6.767","1.524.665","103.677.237","Demais serviços","2704","3426"
"SP","35","3548302","Santo Expedito","3.011","1.246.329","38.100.288","Administração, defesa, educação e saúde públicas e seguridade social","3121","4886"
"SP","35","3548401","Santópolis do Aguapeí","4.611","1.297.563","60.816.781","Demais serviços","3052","4250"
"SP","35","3548500","Santos","433.966","5.182.999","22.532.671.801","Demais serviços","256","33"
"SP","35","3548609","São Bento do Sapucaí","10.864","1.800.782","196.195.216","Demais serviços","2316","2383"
"SP","35","3548708","São Bernardo do Campo","816.925","5.399.854","44.680.389.366","Demais serviços","231","15"
